77,18,1,13,3.5,3,16,0
78,19,2,12,5.2,2,14,0
79,20,3,11,0,2,12,0
80,21,4,10,0,1,11,0
81,22,5,9,0,2,9,0
82,23,6,11,0,1,8,0
83,24,7,9,0,2,7,1
84,25,1,8,0,3,4,0
85,26,2,7,0,4,0,0
86,27,3,6,1.9,0,0,0
87,28,4,9,0,0,0,0
88,29,5,12,0,0,0,0
89,30,6,13,0,1,8,9
90,31,7,14,0,2,19,13
91,1,1,14,0,3,16,0
92,2,2,15,0,1,15,0
93,3,3,15,0,1,14,0
94,4,4,12,0.9,2,12,0
95,5,5,11,0,3,9,0
96,6,6,14,0,1,8,0
97,7,7,14,6.5,1,8,1
98,8,1,12,3.3,1,7,0
99,9,2,16,0,1,6,0
100,10,3,17,0,1,5,0
101,11,4,13,0.1,1,4,0
102,12,5,9,0,2,2,0
103,13,6,13,0,2,0,0
104,14,7,14,3.7,0,0,0
105,15,1,17,0,0,0,0
106,16,2,13,0,0,0,0
107,17,3,15,12.3,0,0,0
108,18,4,15,0,0,0,0
109,19,5,14,0,0,0,0
110,20,6,13,0,0,0,0
111,21,7,15,5.9,0,0,0
112,22,1,15,3,0,0,0
113,23,2,17,0,0,0,0
114,24,3,15,0,0,0,0
115,25,4,15,0,0,0,0
116,26,5,16,0,0,0,0
117,27,6,16,1.5,0,0,0
118,28,7,11,5.5,0,0,0
119,29,1,13,0.3,0,0,0
120,30,2,15,0,0,0,0
121,1,3,16,0,0,0,0
122,2,4,17,0,0,0,0
123,3,5,19,8.5,0,0,0
124,4,6,15,4.5,0,0,0
125,5,7,19,0,0,0,0
126,6,1,18,0.6,0,0,0
127,7,2,17,1.4,0,0,0
128,8,3,19,0,0,0,0
129,9,4,18,0,0,0,0
130,10,5,17,4.7,0,0,0
131,11,6,14,2.9,0,0,0
132,12,7,15,0,2,41,43
133,13,1,17,0,2,39,0
134,14,2,16,0,3,36,0
135,15,3,16,0,1,35,0
136,16,4,19,6,1,34,0
137,17,5,15,0.3,2,32,0
138,18,6,18,0,1,31,0
139,19,7,20,0,4,27,0
140,20,1,20,0,2,25,0
141,21,2,20,0,1,24,0
142,22,3,20,0,4,20,0
143,23,4,19,0,3,17,0
144,24,5,20,0,1,16,0
145,25,6,18,10.4,3,13,0
146,26,7,20,0,1,12,0
147,27,1,22,0,2,10,0
148,28,2,21,0,1,9,0
149,29,3,20,0,4,5,0
150,30,4,20,1.7,1,4,0
151,31,5,21,0,3,1,0
152,1,6,23,0,1,6,6
153,2,7,18,0,3,24,21
154,3,1,19,0,3,21,0
155,4,2,21,0,1,20,0
156,5,3,18,1.8,1,19,0
157,6,4,20,0,2,17,0
158,7,5,18,1.1,2,15,0
159,8,6,20,0,2,13,0
160,9,7,20,0,3,10,0
161,10,1,21,0,2,8,0
162,11,2,21,0,1,7,0
163,12,3,23,0,2,5,0
164,13,4,21,2,4,1,0
165,14,5,21,0,1,0,0
166,15,6,20,0,0,0,0
167,16,7,22,1.1,4,30,34
168,17,1,22,0,2,28,0
169,18,2,22,0,1,27,0
170,19,3,22,7,3,24,0
171,20,4,23,0,1,23,0
172,21,5,22,5,2,21,0
173,22,6,21,0.1,3,18,0
174,23,7,21,2.2,2,16,0
175,24,1,22,0.1,2,14,0
176,25,2,22,14.8,3,11,0
177,26,3,22,0,2,9,0
178,27,4,23,0,1,8,0
179,28,5,20,0.3,1,7,0
180,29,6,21,1.1,1,6,0
181,30,7,21,0,5,1,0
182,1,1,23,0,1,0,0
183,2,2,23,6.8,0,0,0
184,3,3,22,24.1,0,0,0
185,4,4,21,34.400002,0,0,0
